x,y,z,r
112.2961408695348,29.635410439736496,675.5165014689175,2
110.02453400740576,26.058970128496302,-117.44459075021524,2
111.84326778546414,27.80722383706802,225.16316338600126,3
112.78451138645805,26.70671478879158,1895.7278992423387,5
111.59774401315381,28.397387713838768,933.0008671486987,1
111.04560967859544,26.66596181025598,1841.6762085939263,4
110.15117942626594,26.85693887862911,225.4452258857582,2
112.83387807505244,25.892753653346233,2091.964023122823,5
113.64898053653143,28.858527621029936,964.2337370667697,5
111.65657625370059,27.31729911203037,1541.6531655050298,2
111.27478617664251,26.566850533221903,297.5953673754448,2
113.33962024739085,29.9087113462272,1705.7313166414979,3
113.62167414995643,26.726956411580442,1939.2703789175916,4
111.04639297030755,25.84230707396137,792.527849486183,1
112.62794250558946,26.612305103077393,1988.5532245526201,5
112.17658739895384,27.0042825162509,98.1565260522132,5
114.21217648033698,29.645199713027278,1334.1265030841432,5
110.83972904547295,25.702528750297432,1344.289166114383,3
111.5327948644291,28.5399119340331,108.53846809043554,5
112.37124296998141,28.362782549726745,1808.450545970218,2
113.88776463951817,28.88978256515192,508.6579845052628,1
111.8330406774326,29.36516330359097,2141.6668056337826,4
111.05034366779526,27.604567506973822,2079.551696707252,3
110.4724867804778,26.896668980440207,1889.9949409931908,4
110.06774591127002,27.759143574195726,1258.5547361703132,3
113.32755804018973,26.332571189570896,2078.382003614175,2
110.39273941630344,25.420757413253778,969.2779880552368,1
113.65165452888343,25.458073499766375,1953.2556524541214,5
112.34345819271617,28.647623780195282,2189.07769694086,2
114.3321405154719,28.034334824637686,-38.992733285559225,5
111.14931663109499,27.351162798857537,1662.5076749453765,4
112.18502081514202,28.694910544520532,776.7994319512394,5
110.11915203440734,25.361287528747397,2021.2024551668796,4
113.61779875958858,27.331445982660085,539.9717470648977,2
110.55891070056005,28.973942072898783,2187.673073405683,3
110.19039757059123,27.748018203892762,901.8368530639893,2
113.09224131023099,29.394838192148825,1850.3740334822671,1
111.9148791854326,29.469045344054244,2213.1008232821896,1
